Stock name,Last candle date,Candle pattern detected,Explanation,Suggestion,Plot
CVS,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\CVS_CDLLONGLINE_2024-06-12.png
C,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\C_CDLLONGLINE_2024-06-12.png
C,2024-06-12,CDLTHRUSTING,Thrusting Pattern: Continuation.,Hold stock,Results\2024-06-12\C_CDLTHRUSTING_2024-06-12.png
CME,2024-06-12,CDLSHORTLINE,Short Line Candle: Indicates weak sentiment.,Watch closely,Results\2024-06-12\CME_CDLSHORTLINE_2024-06-12.png
PNC,2024-06-12,CDLBELTHOLD,Belt-hold: Trend reversal pattern.,Watch closely,Results\2024-06-12\PNC_CDLBELTHOLD_2024-06-12.png
PNC,2024-06-12,CDLCLOSINGMARUBOZU,Closing Marubozu: Continuation pattern.,Hold stock,Results\2024-06-12\PNC_CDLCLOSINGMARUBOZU_2024-06-12.png
PNC,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\PNC_CDLLONGLINE_2024-06-12.png
PNC,2024-06-12,CDLMARUBOZU,Marubozu: Strong continuation.,Hold stock,Results\2024-06-12\PNC_CDLMARUBOZU_2024-06-12.png
TJX,2024-06-12,CDLSPINNINGTOP,Spinning Top: Indicates indecision.,Watch closely,Results\2024-06-12\TJX_CDLSPINNINGTOP_2024-06-12.png
CCI,2024-06-12,CDLHAMMER,Hammer: Bullish reversal.,Buy stock,Results\2024-06-12\CCI_CDLHAMMER_2024-06-12.png
NSC,2024-06-12,CDLHAMMER,Hammer: Bullish reversal.,Buy stock,Results\2024-06-12\NSC_CDLHAMMER_2024-06-12.png
NSC,2024-06-12,CDLHIKKAKE,Hikkake: Continuation pattern.,Hold stock,Results\2024-06-12\NSC_CDLHIKKAKE_2024-06-12.png
SO,2024-06-12,CDLBELTHOLD,Belt-hold: Trend reversal pattern.,Watch closely,Results\2024-06-12\SO_CDLBELTHOLD_2024-06-12.png
SO,2024-06-12,CDLCLOSINGMARUBOZU,Closing Marubozu: Continuation pattern.,Hold stock,Results\2024-06-12\SO_CDLCLOSINGMARUBOZU_2024-06-12.png
SO,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\SO_CDLLONGLINE_2024-06-12.png
SO,2024-06-12,CDLMARUBOZU,Marubozu: Strong continuation.,Hold stock,Results\2024-06-12\SO_CDLMARUBOZU_2024-06-12.png
BIIB,2024-06-12,CDLCLOSINGMARUBOZU,Closing Marubozu: Continuation pattern.,Hold stock,Results\2024-06-12\BIIB_CDLCLOSINGMARUBOZU_2024-06-12.png
BIIB,2024-06-12,CDLENGULFING,Engulfing: Strong reversal pattern.,Watch closely,Results\2024-06-12\BIIB_CDLENGULFING_2024-06-12.png
BIIB,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\BIIB_CDLLONGLINE_2024-06-12.png
VRTX,2024-06-12,CDLBELTHOLD,Belt-hold: Trend reversal pattern.,Watch closely,Results\2024-06-12\VRTX_CDLBELTHOLD_2024-06-12.png
VRTX,2024-06-12,CDLCLOSINGMARUBOZU,Closing Marubozu: Continuation pattern.,Hold stock,Results\2024-06-12\VRTX_CDLCLOSINGMARUBOZU_2024-06-12.png
VRTX,2024-06-12,CDLENGULFING,Engulfing: Strong reversal pattern.,Watch closely,Results\2024-06-12\VRTX_CDLENGULFING_2024-06-12.png
VRTX,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\VRTX_CDLLONGLINE_2024-06-12.png
VRTX,2024-06-12,CDLMARUBOZU,Marubozu: Strong continuation.,Hold stock,Results\2024-06-12\VRTX_CDLMARUBOZU_2024-06-12.png
MMC,2024-06-12,CDLSHORTLINE,Short Line Candle: Indicates weak sentiment.,Watch closely,Results\2024-06-12\MMC_CDLSHORTLINE_2024-06-12.png
FIS,2024-06-12,CDLHAMMER,Hammer: Bullish reversal.,Buy stock,Results\2024-06-12\FIS_CDLHAMMER_2024-06-12.png
FIS,2024-06-12,CDLHARAMI,Harami: Reversal pattern.,Watch closely,Results\2024-06-12\FIS_CDLHARAMI_2024-06-12.png
HUM,2024-06-12,CDLENGULFING,Engulfing: Strong reversal pattern.,Watch closely,Results\2024-06-12\HUM_CDLENGULFING_2024-06-12.png
HUM,2024-06-12,CDLLONGLINE,Long Line Candle: Indicates strong sentiment.,Watch closely,Results\2024-06-12\HUM_CDLLONGLINE_2024-06-12.png
ICE,2024-06-12,CDLSHORTLINE,Short Line Candle: Indicates weak sentiment.,Watch closely,Results\2024-06-12\ICE_CDLSHORTLINE_2024-06-12.png
ICE,2024-06-12,CDLSPINNINGTOP,Spinning Top: Indicates indecision.,Watch closely,Results\2024-06-12\ICE_CDLSPINNINGTOP_2024-06-12.png
EL,2024-06-12,CDLDOJI,Doji: Indicates indecision.,Watch closely,Results\2024-06-12\EL_CDLDOJI_2024-06-12.png
EL,2024-06-12,CDLHIGHWAVE,High-Wave: Indicates indecision.,Watch closely,Results\2024-06-12\EL_CDLHIGHWAVE_2024-06-12.png
EL,2024-06-12,CDLLONGLEGGEDDOJI,Long Legged Doji: Indicates indecision.,Watch closely,Results\2024-06-12\EL_CDLLONGLEGGEDDOJI_2024-06-12.png
EL,2024-06-12,CDLRICKSHAWMAN,Rickshaw Man: Indicates indecision.,Watch closely,Results\2024-06-12\EL_CDLRICKSHAWMAN_2024-06-12.png
EL,2024-06-12,CDLSPINNINGTOP,Spinning Top: Indicates indecision.,Watch closely,Results\2024-06-12\EL_CDLSPINNINGTOP_2024-06-12.png
ORCL,2024-06-12,CDLHANGINGMAN,Hanging Man: Bearish reversal.,Sell stock,Results\2024-06-12\ORCL_CDLHANGINGMAN_2024-06-12.png
